Trip,Region,Parcels,TruckAge,Minutes
1,B,46,11,461.9
2,B,32,1,273.1
3,C,42,14,489.4
4,B,30,13,303.0
5,B,36,15,367.7
6,C,45,5,415.2
7,C,28,4,254.2
8,C,26,15,259.0
9,C,48,8,471.7
10,C,36,11,367.7
11,A,24,11,347.0
12,C,35,5,381.9
13,B,40,7,388.0
14,C,20,13,228.0
15,C,29,14,296.9
16,B,48,10,474.4
17,B,34,9,330.3
18,A,34,9,447.9
19,C,34,6,322.9
20,C,24,6,227.1
21,A,38,6,488.9
22,B,42,2,380.6
23,A,46,1,517.9
24,C,38,1,333.5
25,A,32,9,434.0
26,B,44,7,419.0
27,B,42,3,489.4
28,A,26,14,381.4
29,A,30,7,415.1
30,A,36,8,464.4
31,A,28,15,413.5
32,B,24,6,228.6
33,A,40,4,486.2
34,B,38,1,333.5
35,B,22,3,196.1
36,B,28,5,264.1
37,C,42,3,380.6
38,B,20,15,216.7
39,A,48,2,546.3
40,C,22,4,204.1
41,C,32,2,265.4
42,B,26,14,264.9
43,C,44,4,419.0
44,A,22,12,321.3
45,C,51,9,464.6
46,A,44,1,506.6
47,A,20,15,315.7
