X,Indicator,Data.Source,PUBLISH.STATES,Year,WHO.region,Country,Sex,Display.Value,Numeric
8,Children aged <5 years underweight (%),NLIS_310044,Published,1986,Africa,Senegal,Male,19.3,19.3
11,Children aged <5 years underweight (%),NLIS_310095,Published,1989,Africa,Uganda,Female,19.1,19.1
13,Children aged <5 years underweight (%),NLIS_310138,Published,1988,Africa,Zimbabwe,Female,7.2,7.2
16,Children aged <5 years underweight (%),NLIS_310044,Published,1986,Africa,Senegal,Female,15.3,15.3
18,Children aged <5 years underweight (%),NLIS_310095,Published,1989,Africa,Uganda,Male,20.4,20.4
21,Children aged <5 years underweight (%),NLIS_310138,Published,1988,Africa,Zimbabwe,Male,8.7,8.7
26,Children aged <5 years underweight (%),NLIS_310045,Published,1987,Africa,Mali,Male,30.9,30.9
27,Children aged <5 years underweight (%),NLIS_310045,Published,1987,Africa,Mali,Female,27,27
29,Children aged <5 years underweight (%),NLIS_310092,Published,1987,Africa,Burundi,Male,32.6,32.6
30,Children aged <5 years underweight (%),NLIS_310092,Published,1987,Africa,Burundi,Female,27.8,27.8
37,Children aged <5 years underweight (%),NLIS_310187,Published,1981,Americas,Barbados,Female,5.7,5.7
38,Children aged <5 years underweight (%),NLIS_310189,Published,1972,Americas,Canada,Male,1.8,1.8
42,Children aged <5 years underweight (%),NLIS_310222,Published,1987,Americas,Trinidad and Tobago,Female,4.7,4.7
44,Children aged <5 years underweight (%),NLIS_310232,Published,1989,Americas,Bolivia (Plurinational State of),Female,7.5,7.5
45,Children aged <5 years underweight (%),NLIS_310233,Published,1990,Americas,Paraguay,Male,2.2,2.2
46,Children aged <5 years underweight (%),NLIS_310234,Published,1989,Americas,Brazil,Male,5.3,5.3
48,Children aged <5 years underweight (%),NLIS_310240,Published,1975,Eastern Mediterranean,Tunisia,Female,19.1,19.1
50,Children aged <5 years underweight (%),NLIS_310282,Published,1975,South-East Asia,Nepal,Male,61.3,61.3
53,Children aged <5 years underweight (%),NLIS_310309,Published,1987,South-East Asia,Thailand,Female,16,16
55,Children aged <5 years underweight (%),NLIS_310319,Published,1977,Western Pacific,Singapore,Female,10.8,10.8
57,Children aged <5 years underweight (%),NLIS_310363,Published,1992,Americas,Peru,Male,9.7,9.7
59,Children aged <5 years underweight (%),NLIS_310365,Published,1991,Americas,Dominican Republic,Female,7.5,7.5
62,Children aged <5 years underweight (%),NLIS_310375,Published,1991,Africa,Cameroon,Female,18.3,18.3
65,Children aged <5 years underweight (%),NLIS_310426,Published,1988,Africa,Ghana,Male,24.8,24.8
67,Children aged <5 years underweight (%),NLIS_310430,Published,1989,Americas,Mexico,Female,13.1,13.1
69,Children aged <5 years underweight (%),NLIS_310439,Published,1988,Africa,Togo,Female,19.7,19.7
71,Children aged <5 years underweight (%),NLIS_310441,Published,1987,Eastern Mediterranean,Morocco,Male,12.5,12.5
73,Children aged <5 years underweight (%),NLIS_310444,Published,1990,Africa,Mauritania,Female,42.1,42.1
75,Children aged <5 years underweight (%),NLIS_310471,Published,1992,Africa,Namibia,Male,23.4,23.4
78,Children aged <5 years underweight (%),NLIS_310526,Published,1992,Africa,Niger,Female,39.7,39.7
82,Children aged <5 years underweight (%),NLIS_310561,Published,1992,Eastern Mediterranean,Morocco,Female,7.7,7.7
84,Children aged <5 years underweight (%),NLIS_310689,Published,1992,Eastern Mediterranean,Yemen,Female,27.9,27.9
85,Children aged <5 years underweight (%),NLIS_310750,Published,1992,Africa,Algeria,Male,9.8,9.8
87,Children aged <5 years underweight (%),NLIS_310904,Published,1980,Europe,Netherlands,Female,1.1,1.1
88,Children aged <5 years underweight (%),NLIS_310967,Published,1992,Africa,Rwanda,Male,25.3,25.3
90,Children aged <5 years underweight (%),NLIS_311002,Published,1993,Africa,Kenya,Female,17.7,17.7
97,Children aged <5 years underweight (%),NLIS_311359,Published,1994,Americas,Bolivia (Plurinational State of),Female,9.9,9.9
98,Children aged <5 years underweight (%),NLIS_311408,Published,1993,Eastern Mediterranean,Egypt,Male,8.6,8.6
100,Children aged <5 years underweight (%),NLIS_311422,Published,1994,Africa,Ghana,Female,23.2,23.2
101,Children aged <5 years underweight (%),NLIS_311429,Published,1993,Americas,Nicaragua,Male,10.2,10.2
104,Children aged <5 years underweight (%),NLIS_311473,Published,1992,Western Pacific,China,Male,13.8,13.8
110,Children aged <5 years underweight (%),NLIS_311547,Published,1995,Americas,Haiti,Female,22.7,22.7
112,Children aged <5 years underweight (%),NLIS_311549,Published,1993,South-East Asia,India,Male,52.4,52.4
115,Children aged <5 years underweight (%),NLIS_311561,Published,1994,Africa,Côte d'Ivoire,Female,18,18
119,Children aged <5 years underweight (%),NLIS_311591,Published,1993,Western Pacific,Viet Nam,Male,38,38
121,Children aged <5 years underweight (%),NLIS_311605,Published,1995,Eastern Mediterranean,Libya,Female,3.8,3.8
122,Children aged <5 years underweight (%),NLIS_311608,Published,1995,Americas,Colombia,Male,7,7
128,Children aged <5 years underweight (%),NLIS_311651,Published,1995,Africa,Algeria,Female,10.4,10.4
130,Children aged <5 years underweight (%),NLIS_311660,Published,1996,Eastern Mediterranean,Lebanon,Female,3.3,3.3
131,Children aged <5 years underweight (%),NLIS_311665,Published,1996,Eastern Mediterranean,Egypt,Female,9.8,9.8
132,Children aged <5 years underweight (%),NLIS_311674,Published,1995,Europe,Kazakhstan,Male,8.7,8.7
134,Children aged <5 years underweight (%),NLIS_311680,Published,1996,Americas,Brazil,Female,4.2,4.2
135,Children aged <5 years underweight (%),NLIS_311682,Published,1996,Africa,Mali,Male,39.2,39.2
136,Children aged <5 years underweight (%),NLIS_311706,Published,1996,South-East Asia,Nepal,Female,42.5,42.5
137,Children aged <5 years underweight (%),NLIS_311714,Published,1996,Africa,Benin,Male,29.9,29.9
138,Children aged <5 years underweight (%),NLIS_311752,Published,1996,Africa,United Republic of Tanzania,Male,28.4,28.4
140,Children aged <5 years underweight (%),NLIS_311757,Published,1996,Americas,Peru,Female,4.9,4.9
141,Children aged <5 years underweight (%),NLIS_311759,Published,1997,South-East Asia,Bangladesh,Male,51.9,51.9
146,Children aged <5 years underweight (%),NLIS_311827,Published,1996,Americas,Dominican Republic,Female,4.1,4.1
147,Children aged <5 years underweight (%),NLIS_311837,Published,1997,Africa,Chad,Male,35.9,35.9
149,Children aged <5 years underweight (%),NLIS_311841,Published,1997,Europe,Kyrgyzstan,Male,10.7,10.7
152,Children aged <5 years underweight (%),NLIS_311865,Published,1998,Europe,Armenia,Male,2.8,2.8
155,Children aged <5 years underweight (%),NLIS_311915,Published,1998,Africa,Niger,Female,43.9,43.9
156,Children aged <5 years underweight (%),NLIS_311918,Published,1998,Americas,Nicaragua,Male,11.1,11.1
158,Children aged <5 years underweight (%),NLIS_311927,Published,1997,Eastern Mediterranean,Jordan,Female,3.8,3.8
