date,visits,simplystats,julian
1/1/2011,0,0,14975
1/2/2011,0,0,14976
1/3/2011,0,0,14977
1/4/2011,0,0,14978
1/5/2011,0,0,14979
1/6/2011,0,0,14980
1/7/2011,0,0,14981
1/8/2011,0,0,14982
1/9/2011,0,0,14983
1/10/2011,0,0,14984
1/11/2011,0,0,14985
1/12/2011,0,0,14986
1/13/2011,0,0,14987
1/14/2011,0,0,14988
1/15/2011,0,0,14989
1/16/2011,0,0,14990
1/17/2011,0,0,14991
1/18/2011,0,0,14992
1/19/2011,0,0,14993
1/20/2011,0,0,14994
1/21/2011,5,0,14995
1/22/2011,3,0,14996
1/23/2011,4,0,14997
1/24/2011,15,0,14998
1/25/2011,7,0,14999
1/26/2011,6,0,15000
1/27/2011,5,0,15001
1/28/2011,9,0,15002
1/29/2011,3,0,15003
1/30/2011,4,0,15004
1/31/2011,10,0,15005
2/1/2011,11,0,15006
2/2/2011,11,0,15007
2/3/2011,9,0,15008
2/4/2011,14,0,15009
2/5/2011,6,0,15010
2/6/2011,3,0,15011
2/7/2011,12,0,15012
2/8/2011,12,0,15013
2/9/2011,11,0,15014
2/10/2011,10,0,15015
2/11/2011,1,0,15016
2/12/2011,5,0,15017
2/13/2011,5,0,15018
2/14/2011,23,0,15019
2/15/2011,7,0,15020
2/16/2011,15,0,15021
2/17/2011,13,0,15022
2/18/2011,8,0,15023
2/19/2011,0,0,15024
2/20/2011,3,0,15025
2/21/2011,8,0,15026
2/22/2011,14,0,15027
2/23/2011,10,0,15028
2/24/2011,6,0,15029
2/25/2011,7,0,15030
2/26/2011,8,0,15031
2/27/2011,4,0,15032
2/28/2011,11,0,15033
3/1/2011,8,0,15034
3/2/2011,20,0,15035
3/3/2011,10,0,15036
3/4/2011,12,0,15037
3/5/2011,4,0,15038
3/6/2011,3,0,15039
3/7/2011,11,0,15040
3/8/2011,8,0,15041
3/9/2011,11,0,15042
3/10/2011,12,0,15043
3/11/2011,11,0,15044
3/12/2011,5,0,15045
3/13/2011,2,0,15046
3/14/2011,9,0,15047
3/15/2011,11,0,15048
3/16/2011,7,0,15049
3/17/2011,7,0,15050
3/18/2011,4,0,15051
3/19/2011,1,0,15052
3/20/2011,2,0,15053
3/21/2011,6,0,15054
3/22/2011,7,0,15055
3/23/2011,6,0,15056
3/24/2011,7,0,15057
3/25/2011,7,0,15058
3/26/2011,5,0,15059
3/27/2011,3,0,15060
3/28/2011,21,0,15061
3/29/2011,25,0,15062
3/30/2011,13,0,15063
3/31/2011,20,0,15064
4/1/2011,15,0,15065
4/2/2011,4,0,15066
4/3/2011,5,0,15067
4/4/2011,21,0,15068
4/5/2011,12,0,15069
4/6/2011,7,0,15070
4/7/2011,12,0,15071
4/8/2011,11,0,15072
4/9/2011,1,0,15073
4/10/2011,6,0,15074
4/11/2011,7,0,15075
4/12/2011,5,0,15076
4/13/2011,4,0,15077
4/14/2011,13,0,15078
4/15/2011,9,0,15079
4/16/2011,3,0,15080
4/17/2011,11,0,15081
4/18/2011,7,0,15082
4/19/2011,9,0,15083
4/20/2011,6,0,15084
4/21/2011,4,0,15085
4/22/2011,5,0,15086
4/23/2011,3,0,15087
4/24/2011,1,0,15088
4/25/2011,7,0,15089
4/26/2011,9,0,15090
4/27/2011,9,0,15091
4/28/2011,12,0,15092
4/29/2011,6,0,15093
4/30/2011,2,0,15094
5/1/2011,0,0,15095
5/2/2011,6,0,15096
5/3/2011,8,0,15097
5/4/2011,6,0,15098
5/5/2011,7,0,15099
5/6/2011,7,0,15100
5/7/2011,0,0,15101
5/8/2011,5,0,15102
5/9/2011,7,0,15103
5/10/2011,6,0,15104
5/11/2011,5,0,15105
5/12/2011,14,0,15106
5/13/2011,5,0,15107
5/14/2011,6,0,15108
5/15/2011,4,0,15109
5/16/2011,10,0,15110
5/17/2011,20,0,15111
5/18/2011,11,0,15112
5/19/2011,9,0,15113
5/20/2011,11,0,15114
5/21/2011,11,0,15115
5/22/2011,8,0,15116
5/23/2011,5,0,15117
5/24/2011,7,0,15118
5/25/2011,3,0,15119
5/26/2011,7,0,15120
5/27/2011,6,0,15121
5/28/2011,1,0,15122
5/29/2011,3,0,15123
5/30/2011,9,0,15124
5/31/2011,13,0,15125
6/1/2011,12,0,15126
6/2/2011,10,0,15127
6/3/2011,8,0,15128
6/4/2011,3,0,15129
6/5/2011,0,0,15130
6/6/2011,9,0,15131
6/7/2011,7,0,15132
6/8/2011,8,0,15133
6/9/2011,8,0,15134
6/10/2011,16,0,15135
6/11/2011,2,0,15136
6/12/2011,5,0,15137
6/13/2011,5,0,15138
6/14/2011,9,0,15139
6/15/2011,7,0,15140
6/16/2011,11,0,15141
6/17/2011,9,0,15142
6/18/2011,3,0,15143
6/19/2011,6,0,15144
6/20/2011,5,0,15145
6/21/2011,7,0,15146
6/22/2011,5,0,15147
6/23/2011,5,0,15148
6/24/2011,5,0,15149
6/25/2011,0,0,15150
6/26/2011,4,0,15151
6/27/2011,4,0,15152
6/28/2011,9,0,15153
6/29/2011,5,0,15154
6/30/2011,3,0,15155
